index,name,file,source_x,source_y,width,height,hint_x,hint_y,hint_width,hint_height,note
1,top_left_house,001_top_left_house.png,0,0,128,170,0,0,128,170,
2,top_blue_house,002_top_blue_house.png,96,0,163,178,96,0,163,178,
3,top_teal_house,003_top_teal_house.png,258,0,157,193,258,0,157,193,
4,top_dark_house,004_top_dark_house.png,401,0,111,169,401,0,111,169,
5,top_small_props_left,005_top_small_props_left.png,122,0,135,75,122,0,135,75,
6,top_small_props_right,006_top_small_props_right.png,324,0,77,72,324,0,77,72,
7,sewer_cover,007_sewer_cover.png,253,0,49,55,253,0,49,55,
8,dog_and_mail,008_dog_and_mail.png,207,38,67,50,207,38,67,50,
9,bench_bins_mailboxes,009_bench_bins_mailboxes.png,0,128,88,43,0,128,88,43,
10,clinic,010_clinic.png,0,146,101,184,0,146,101,184,
11,pierre_store,011_pierre_store.png,81,150,157,181,81,150,157,181,
12,saloon,012_saloon.png,225,142,178,210,225,142,178,210,
13,white_house,013_white_house.png,365,137,147,249,365,137,147,249,
14,garden_patch,014_garden_patch.png,0,314,66,40,0,314,66,40,
15,community_center,015_community_center.png,0,336,208,162,0,336,208,162,
16,rv,016_rv.png,188,320,181,97,188,320,181,97,
17,large_tree,017_large_tree.png,194,377,90,139,194,377,90,139,
18,bush_cluster,018_bush_cluster.png,270,377,76,61,270,377,76,61,
19,flower_planters,019_flower_planters.png,287,421,103,58,287,421,103,58,
20,round_plaza,020_round_plaza.png,391,392,121,112,391,392,121,112,
21,stone_path_and_fence,021_stone_path_and_fence.png,0,352,88,148,0,352,88,148,
22,yellow_cabin,022_yellow_cabin.png,0,518,102,124,0,518,102,124,
23,bus_stop_sign,023_bus_stop_sign.png,14,495,77,49,0,495,91,49,
24,sandbox,024_sandbox.png,97,510,67,78,97,510,67,78,
25,playground_small_props,025_playground_small_props.png,129,497,86,56,129,497,86,56,
26,playground_slide,026_playground_slide.png,175,505,111,126,175,505,111,126,
27,fountain,027_fountain.png,222,454,127,181,222,454,127,181,
28,water_pump,028_water_pump.png,345,461,37,67,345,461,37,67,
29,bus_front,029_bus_front.png,379,508,76,116,379,508,76,116,
30,bench,030_bench.png,438,489,74,46,438,489,74,46,
31,crate_stack,031_crate_stack.png,437,590,59,35,437,568,75,57,
32,bus_stop_shelter,032_bus_stop_shelter.png,102,535,84,107,102,535,84,107,
33,vine_house_left,033_vine_house_left.png,0,672,98,130,0,672,98,131,
34,pelican_town_left,034_pelican_town_left.png,79,672,115,130,79,672,115,131,
35,clock_building_center,035_clock_building_center.png,193,656,127,146,193,656,127,147,
36,pelican_town_right,036_pelican_town_right.png,318,672,68,130,318,672,115,131,
37,jojamart_left,037_jojamart_left.png,0,836,193,156,0,836,193,156,
38,joja_car_and_sign,038_joja_car_and_sign.png,192,862,128,130,192,848,128,144,
39,jojamart_right,039_jojamart_right.png,319,836,193,156,319,836,193,156,
