name,x,y,width,height,col,row
high_grass,0,0,32,32,0,0
high_grass_variant,32,0,32,32,1,0
low_grass,64,0,32,32,2,0
low_grass_variant,96,0,32,32,3,0
dirt_path,128,0,32,32,4,0
soft_shadow_on_low_grass,160,0,32,32,5,0
grass_transition_horizontal,192,0,32,32,6,0
ramp_up,224,0,32,32,7,0
cliff_top_center,0,32,32,32,0,1
cliff_top_left_corner,32,32,32,32,1,1
cliff_top_right_corner,64,32,32,32,2,1
cliff_left_face,96,32,32,32,3,1
cliff_right_face,128,32,32,32,4,1
outer_corner_bottom_left,160,32,32,32,5,1
outer_corner_bottom_right,192,32,32,32,6,1
cliff_face_plain,224,32,32,32,7,1
edge_top_to_low,0,64,32,32,0,2
edge_left_to_low,32,64,32,32,1,2
edge_right_to_low,64,64,32,32,2,2
low_grass_shadowed,96,64,32,32,3,2
low_grass_path_left,128,64,32,32,4,2
low_grass_path_center,160,64,32,32,5,2
low_grass_path_right,192,64,32,32,6,2
empty_transparent,224,64,32,32,7,2
cliff_face_variant_1,0,96,32,32,0,3
cliff_face_variant_2,32,96,32,32,1,3
cliff_face_variant_3,64,96,32,32,2,3
cliff_face_variant_4,96,96,32,32,3,3
cliff_face_variant_5,128,96,32,32,4,3
cliff_face_variant_6,160,96,32,32,5,3
cliff_face_variant_7,192,96,32,32,6,3
cliff_face_variant_8,224,96,32,32,7,3
low_grass_variant_extra_1,0,128,32,32,0,4
low_grass_variant_extra_2,32,128,32,32,1,4
low_grass_variant_extra_3,64,128,32,32,2,4
low_grass_variant_extra_4,96,128,32,32,3,4
low_grass_variant_extra_5,128,128,32,32,4,4
low_grass_variant_extra_6,160,128,32,32,5,4
low_grass_variant_extra_7,192,128,32,32,6,4
low_grass_variant_extra_8,224,128,32,32,7,4
high_grass_variant_extra_1,0,160,32,32,0,5
high_grass_variant_extra_2,32,160,32,32,1,5
high_grass_variant_extra_3,64,160,32,32,2,5
high_grass_variant_extra_4,96,160,32,32,3,5
high_grass_variant_extra_5,128,160,32,32,4,5
high_grass_variant_extra_6,160,160,32,32,5,5
high_grass_variant_extra_7,192,160,32,32,6,5
high_grass_variant_extra_8,224,160,32,32,7,5
